FUND,SUB_FUND,SHARE_CLASS,IDENTIFIER,CURRENCY,LAST_VALIDATED_DOCUMENT,HAS_SRRI_VALUE_CHANGED,PREVIOUS_SRRI,LATEST_SRRI,WEEK_OF_CHANGE
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest US Equity Max Buffer UCITS ETF - December,First Trust Vest US Equity Max Buffer UCITS ETF - December Class A ACCU,firsttrustvestusequitymaxbufferucitsetfdecemberaaccusd,USD,2025-05-23,True,4,3,Week 7
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest US Equity Max Buffer UCITS ETF - June,First Trust Vest US Equity Max Buffer UCITS ETF - June Class A ACCU,firsttrustvestusequitymaxbufferucitsetfjuneaaccusd,USD,2025-05-23,True,4,3,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest US Equity Max Buffer UCITS ETF - September,First Trust Vest US Equity Max Buffer UCITS ETF - September Class A ACCU,firsttrustvestusequitymaxbufferucitsetfseptemberaaccusd,USD,2025-05-23,True,4,3,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust SMID Rising Dividend Achievers UCITS ETF Class B DIST,firsttrustsmidrisingdividendachieversucitsetfbdistusd,USD,2025-05-19,True,7,6,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Global Capital Strength ESG Leaders UCITS ETF,First Trust Global Capital Strength ESG Leaders UCITS ETF - Class A ACCU,firsttrustglobalcapitalstrengthesgleadersucitsetfaaccusd,USD,2025-05-15,True,5,6,Week 15
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - February Class A ACCU,firsttrustvestusequitymoderatebufferucitsetffebruaryaaccusd,USD,2025-02-18,True,5,4,Week 4
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class D DIST,firsttrustusequityincomeucitsetfddistgbp,GBP,2025-02-18,True,7,6,Week 3
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class C ACCU,firsttrustusequityincomeucitsetfcaccusd,USD,2025-02-18,True,7,6,Week 3
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq Cybersecurity UCITS ETF,First Trust Nasdaq Cybersecurity UCITS ETF Class C ACCU,firsttrustnasdaqcybersecurityucitsetfcacceur,EUR,2025-02-18,True,7,6,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest Nasdaq-100速 Moderate Buffer UCITS ETF - June,First Trust Vest Nasdaq-100速 Moderate Buffer UCITS ETF - June Class A ACCU,firsttrustvestnasdaqmoderatebufferucitsetfjuneaaccusd,USD,2025-02-18,True,4,5,Week 13
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class A DIST,firsttrustusequityincomeucitsetfadistusd,USD,2025-02-18,True,7,6,Week 3
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust US Equity Income UCITS ETF,First Trust US Equity Income UCITS ETF Class B ACCU,firsttrustusequityincomeucitsetfbaccusd,USD,2025-02-18,True,7,6,Week 3
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Nasdaq Cybersecurity UCITS ETF,First Trust Nasdaq Cybersecurity UCITS ETF Class A ACCU,firsttrustnasdaqcybersecurityucitsetfaaccusd,USD,2025-02-18,True,7,6,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Value Line速 Dividend Index UCITS ETF,First Trust Value Line速 Dividend Index UCITS ETF Class A ACCU,firsttrustvaluelinedividendindexucitsetfaaccusd,USD,2024-11-11,True,6,5,Week 6
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust SMID Rising Dividend Achievers UCITS ETF,First Trust SMID Rising Dividend Achievers UCITS ETF Class A ACCU,firsttrustsmidrisingdividendachieversucitsetfaaccusd,USD,2024-11-11,True,7,6,Week 5
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November,First Trust Vest U.S. Equity Moderate Buffer UCITS ETF - November Class A ACCU,firsttrustvestusequitymoderatebufferucitsetfnovemberaaccusd,USD,2024-11-11,True,5,4,Week 2
FIRST TRUST GLOBAL FUNDS PUBLIC LIMITED COMPANY,First Trust Capital Strength UCITS ETF,First Trust Capital Strength UCITS ETF Class A ACCU,firsttrustcapitalstrengthucitsetfaaccusd,USD,2024-11-11,True,6,5,Week 5
